Publisher,EU_Sales,Percentage
Nintendo,418.3,23.484563517238673
Electronic Arts,367.38,20.625768455565723
Activision,213.72,11.998854685403415
Sony Computer Entertainment,187.55,10.529595715175981
Ubisoft,163.03,9.152972484378246
Take-Two Interactive,117.95,6.622051797414059
THQ,94.6,5.31111572730284
Sega,81.41,4.570591240589051
Konami Digital Entertainment,68.62,3.8525239028279175
Microsoft Game Studios,68.61,3.8519624741041003
