Publisher,NA_Sales,Percentage
Nintendo,815.75,25.99221269165573
Electronic Arts,584.22,18.61498069104396
Activision,426.01,13.573941193714075
Sony Computer Entertainment,265.21999999999997,8.450695249869362
Ubisoft,252.81,8.055275869540282
Take-Two Interactive,220.47,7.02482762136603
THQ,208.6,6.646614241470285
Microsoft Game Studios,155.35,4.949911420960733
Sega,108.78,3.4660531984043037
Atari,101.23,3.2254878219752494
