Publisher,Other_Sales,Percentage
Electronic Arts,127.63,21.696557586060354
Nintendo,95.19,16.181895452613688
Sony Computer Entertainment,80.4,13.667658308542292
Activision,74.79,12.713982150446244
Take-Two Interactive,55.2,9.383765405864855
Ubisoft,50.160000000000004,8.526986825329368
THQ,32.11,5.458563535911603
Konami Digital Entertainment,29.91,5.08457288567786
Sega,24.3,4.130896727581812
Microsoft Game Studios,18.56,3.155121121971951
